date,tournament,level,bestOf,surface,indoor,speed,round,winner_name,winner_seed,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_seed,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,loser_entry,outcome,winner_entry
2020-02-24,Dubai,A,3,H,false,48,F,Novak Djokovic,1,Serbia,SRB,1,5,2427,Stefanos Tsitsipas,2,Greece,GRE,6,-4,2173,6-3 6-4,,,
2020-02-24,Dubai,A,3,H,false,48,SF,Stefanos Tsitsipas,2,Greece,GRE,6,5,2168,Daniel Evans,,United Kingdom,GBR,37,-6,1987,6-2 6-3,,,
2020-02-24,Dubai,A,3,H,false,48,QF,Stefanos Tsitsipas,2,Greece,GRE,6,5,2163,Jan Lennard Struff,,Germany,GER,34,-5,1981,4-6 6-4 6-4,,,
2020-02-24,Dubai,A,3,H,false,48,R16,Stefanos Tsitsipas,2,Greece,GRE,6,3,2160,Alexander Bublik,,Kazakhstan,KAZ,47,-4,1905,7-6(1) 6-4,,,
2020-02-24,Dubai,A,3,H,false,48,R32,Stefanos Tsitsipas,2,Greece,GRE,6,5,2155,Pablo Carreno Busta,,Spain,ESP,27,-5,2007,7-6(1) 6-1,,,
2020-02-17,Marseille,B,3,H,true,82,F,Stefanos Tsitsipas,2,Greece,GRE,6,6,2149,Felix Auger Aliassime,7,Canada,CAN,18,-6,1978,6-3 6-4,,,
2020-02-17,Marseille,B,3,H,true,82,SF,Stefanos Tsitsipas,2,Greece,GRE,6,4,2145,Alexander Bublik,,Kazakhstan,KAZ,55,-4,1896,7-5 6-3,,,
2020-02-17,Marseille,B,3,H,true,82,QF,Stefanos Tsitsipas,2,Greece,GRE,6,4,2141,Vasek Pospisil,,Canada,CAN,98,-4,1944,7-5 6-3,PR,,
2020-02-17,Marseille,B,3,H,true,82,R16,Stefanos Tsitsipas,2,Greece,GRE,6,2,2139,Mikael Ymer,,Sweden,SWE,75,-3,1820,6-1 6-3,,,
2020-02-10,Rotterdam,A,3,H,true,85,R16,Aljaz Bedene,,Slovenia,SLO,52,17,1911,Stefanos Tsitsipas,2,Greece,GRE,6,-14,2153,7-5 6-4,,,
2020-02-10,Rotterdam,A,3,H,true,85,R32,Stefanos Tsitsipas,2,Greece,GRE,6,5,2148,Hubert Hurkacz,,Poland,POL,29,-5,1974,6-7(2) 6-3 6-1,,,
2020-01-20,Australian Open,G,5,H,false,73,R32,Milos Raonic,32,Canada,CAN,35,17,2058,Stefanos Tsitsipas,6,Greece,GRE,6,-17,2165,7-5 6-4 7-6(2),,,
2020-01-20,Australian Open,G,5,H,false,73,R64,Stefanos Tsitsipas,6,Greece,GRE,6,3,2162,Philipp Kohlschreiber,,Germany,GER,79,-3,1945,W/O,,W/O,
2020-01-20,Australian Open,G,5,H,false,73,R128,Stefanos Tsitsipas,6,Greece,GRE,6,2,2160,Salvatore Caruso,,Italy,ITA,95,-5,1791,6-0 6-2 6-3,,,
2020-01-03,ATP Cup,T,3,H,false,67,RR,Nick Kyrgios,,Australia,AUS,30,11,2079,Stefanos Tsitsipas,,Greece,GRE,6,-11,2171,7-6(7) 6-7(3) 7-6(5),,,
2020-01-03,ATP Cup,T,3,H,false,67,RR,Stefanos Tsitsipas,,Greece,GRE,6,8,2163,Alexander Zverev,,Germany,GER,7,-8,2113,6-1 6-4,,,
2020-01-03,ATP Cup,T,3,H,false,67,RR,Denis Shapovalov,,Canada,CAN,15,12,2066,Stefanos Tsitsipas,,Greece,GRE,6,-12,2175,7-6(6) 7-6(4),,,
2019-11-11,Tour Finals,F,3,H,true,98,F,Stefanos Tsitsipas,6,Greece,GRE,6,16,2159,Dominic Thiem,5,Austria,AUT,5,-15,2226,6-7(6) 6-2 7-6(4),,,
2019-11-11,Tour Finals,F,3,H,true,98,SF,Stefanos Tsitsipas,6,Greece,GRE,6,18,2141,Roger Federer,3,Switzerland,SUI,3,-18,2346,6-3 6-4,,,
2019-11-11,Tour Finals,F,3,H,true,98,RR,Rafael Nadal,1,Spain,ESP,1,4,2413,Stefanos Tsitsipas,6,Greece,GRE,6,-4,2145,6-7(4) 6-4 7-5,,,
2019-11-11,Tour Finals,F,3,H,true,98,RR,Stefanos Tsitsipas,6,Greece,GRE,6,14,2131,Daniil Medvedev,4,Russian Federation,RUS,4,-14,2212,7-6(5) 6-4,,,
2019-11-11,Tour Finals,F,3,H,true,98,RR,Stefanos Tsitsipas,6,Greece,GRE,6,11,2120,Alexander Zverev,7,Germany,GER,7,-11,2109,6-3 6-2,,,
2019-10-28,Paris Masters,M,3,H,true,89,QF,Novak Djokovic,1,Serbia,SRB,1,4,2374,Stefanos Tsitsipas,7,Greece,GRE,7,-5,2125,6-1 6-2,,,
2019-10-28,Paris Masters,M,3,H,true,89,R16,Stefanos Tsitsipas,7,Greece,GRE,7,8,2117,Alex De Minaur,,Australia,AUS,18,-8,2034,6-3 6-4,,,
2019-10-28,Paris Masters,M,3,H,true,89,R32,Stefanos Tsitsipas,7,Greece,GRE,7,6,2111,Taylor Harry Fritz,,United States,USA,33,-6,1950,7-6(3) 6-3,,,
2019-10-21,Basel,A,3,H,true,85,SF,Roger Federer,1,Switzerland,SUI,3,5,2338,Stefanos Tsitsipas,3,Greece,GRE,7,-5,2116,6-4 6-4,,,
2019-10-21,Basel,A,3,H,true,85,QF,Stefanos Tsitsipas,3,Greece,GRE,7,7,2109,Filip Krajinovic,,Serbia,SRB,46,-6,1985,3-6 6-4 6-4,SE,,
2019-10-21,Basel,A,3,H,true,85,R16,Stefanos Tsitsipas,3,Greece,GRE,7,3,2106,Ricardas Berankis,,Lithuania,LTU,70,-4,1847,6-7(4) 6-2 6-4,Q,,
2019-10-21,Basel,A,3,H,true,85,R32,Stefanos Tsitsipas,3,Greece,GRE,7,5,2101,Albert Ramos,,Spain,ESP,42,-5,1954,6-3 7-6(6),,,
2019-10-07,Shanghai Masters,M,3,H,false,88,SF,Daniil Medvedev,3,Russian Federation,RUS,4,7,2227,Stefanos Tsitsipas,6,Greece,GRE,7,-7,2108,7-6(5) 7-5,,,
2019-10-07,Shanghai Masters,M,3,H,false,88,QF,Stefanos Tsitsipas,6,Greece,GRE,7,18,2090,Novak Djokovic,1,Serbia,SRB,1,-18,2390,3-6 7-5 6-3,,,
2019-10-07,Shanghai Masters,M,3,H,false,88,R16,Stefanos Tsitsipas,6,Greece,GRE,7,6,2084,Hubert Hurkacz,,Poland,POL,34,-7,1959,7-5 3-6 7-6(5),,,
2019-10-07,Shanghai Masters,M,3,H,false,88,R32,Stefanos Tsitsipas,6,Greece,GRE,7,7,2077,Felix Auger Aliassime,,Canada,CAN,19,-7,1966,7-6(3) 7-6(3),,,
2019-09-30,Beijing,A,3,H,false,76,F,Dominic Thiem,1,Austria,AUT,5,8,2175,Stefanos Tsitsipas,3,Greece,GRE,7,-8,2085,3-6 6-4 6-1,,,
2019-09-30,Beijing,A,3,H,false,76,SF,Stefanos Tsitsipas,3,Greece,GRE,7,11,2074,Alexander Zverev,2,Germany,GER,6,-11,2108,7-6(6) 6-4,,,
2019-09-30,Beijing,A,3,H,false,76,QF,Stefanos Tsitsipas,3,Greece,GRE,7,9,2065,John Isner,,United States,USA,19,-9,2043,7-6(3) 6-3,,,
2019-09-30,Beijing,A,3,H,false,76,R16,Stefanos Tsitsipas,3,Greece,GRE,7,7,2058,Nikoloz Basilashvili,,Russian Federation,RUS,17,-7,1975,4-6 6-3 6-2,,,
2019-09-30,Beijing,A,3,H,false,76,R32,Stefanos Tsitsipas,3,Greece,GRE,7,5,2053,Dusan Lajovic,,Serbia,SRB,29,-6,1901,4-6 6-3 6-4,,,
2019-09-23,Zhuhai,B,3,H,false,61,R16,Adrian Mannarino,,France,FRA,61,13,1914,Stefanos Tsitsipas,1,Greece,GRE,7,-12,2065,3-6 7-5 0-0 RET,,RET,
2019-08-26,US Open,G,5,H,false,61,R128,Andrey Rublev,,Russian Federation,RUS,43,17,1980,Stefanos Tsitsipas,8,Greece,GRE,8,-15,2080,6-4 6-7(5) 7-6(7) 7-5,,,
2019-08-12,Cincinnati Masters,M,3,H,false,81,R32,Jan Lennard Struff,,Germany,GER,36,13,2016,Stefanos Tsitsipas,5,Greece,GRE,7,-13,2093,6-4 6-7(5) 7-6(6),,,
2019-08-05,Canada Masters,M,3,H,false,68,R32,Hubert Hurkacz,,Poland,POL,48,17,1927,Stefanos Tsitsipas,4,Greece,GRE,5,-14,2107,6-4 3-6 6-3,,,AL
2019-07-29,Washington,A,3,H,false,71,SF,Nick Kyrgios,,Australia,AUS,52,11,2083,Stefanos Tsitsipas,1,Greece,GRE,6,-11,2118,6-4 3-6 7-6(7),,,
2019-07-29,Washington,A,3,H,false,71,QF,Stefanos Tsitsipas,1,Greece,GRE,6,6,2112,Benoit Paire,10,France,FRA,30,-7,1999,7-5 6-0,,,
2019-07-29,Washington,A,3,H,false,71,R16,Stefanos Tsitsipas,1,Greece,GRE,6,4,2108,Jordan Thompson,,Australia,AUS,46,-5,1901,6-3 7-6(4),,,
2019-07-29,Washington,A,3,H,false,71,R32,Stefanos Tsitsipas,1,Greece,GRE,6,3,2105,Tommy Paul,,United States,USA,128,-4,1786,6-3 7-5,WC,,
2019-07-01,Wimbledon,G,5,G,false,76,R128,Thomas Fabbiano,,Italy,ITA,89,35,1796,Stefanos Tsitsipas,7,Greece,GRE,6,-22,2127,6-4 3-6 6-4 6-7(8) 6-3,,,
2019-06-17,London,A,3,G,false,89,QF,Felix Auger Aliassime,8,Canada,CAN,21,14,1987,Stefanos Tsitsipas,1,Greece,GRE,6,-13,2140,7-5 6-2,,,
2019-06-17,London,A,3,G,false,89,R16,Stefanos Tsitsipas,1,Greece,GRE,6,4,2136,Jeremy Chardy,,France,FRA,65,-5,1921,4-6 7-6(0) 7-6(4),,,
2019-06-17,London,A,3,G,false,89,R32,Stefanos Tsitsipas,1,Greece,GRE,6,5,2131,Kyle Edmund,,United Kingdom,GBR,30,-5,1976,6-3 7-5,,,
2019-06-10,S-Hertogenbosch,B,3,G,false,75,R16,Nicolas Jarry,,Chile,CHI,60,16,1902,Stefanos Tsitsipas,1,Greece,GRE,6,-13,2144,6-4 3-6 6-4,,,
2019-05-27,Roland Garros,G,5,C,false,47,R16,Stan Wawrinka,24,Switzerland,SUI,28,15,2101,Stefanos Tsitsipas,6,Greece,GRE,6,-15,2159,7-6(6) 5-7 6-4 3-6 8-6,,,
2019-05-27,Roland Garros,G,5,C,false,47,R32,Stefanos Tsitsipas,6,Greece,GRE,6,8,2151,Filip Krajinovic,,Serbia,SRB,60,-8,2008,7-5 6-3 6-7(7) 7-6(6),,,
2019-05-27,Roland Garros,G,5,C,false,47,R64,Stefanos Tsitsipas,6,Greece,GRE,6,3,2148,Hugo Dellien,,"Bolivia, Plurinational State of",BOL,86,-5,1783,4-6 6-0 6-3 7-5,,,
2019-05-27,Roland Garros,G,5,C,false,47,R128,Stefanos Tsitsipas,6,Greece,GRE,6,2,2146,Maximilian Marterer,,Germany,GER,116,-5,1756,6-2 6-2 7-6(4),,,
2019-05-13,Rome Masters,M,3,C,false,47,SF,Rafael Nadal,2,Spain,ESP,2,5,2360,Stefanos Tsitsipas,8,Greece,GRE,7,-5,2151,6-3 6-4,,,
2019-05-13,Rome Masters,M,3,C,false,47,QF,Stefanos Tsitsipas,8,Greece,GRE,7,8,2143,Roger Federer,3,Switzerland,SUI,3,-8,2362,W/O,,W/O,
2019-05-13,Rome Masters,M,3,C,false,47,R16,Stefanos Tsitsipas,8,Greece,GRE,7,8,2135,Fabio Fognini,10,Italy,ITA,12,-8,2069,6-4 6-3,,,
2019-05-13,Rome Masters,M,3,C,false,47,R32,Stefanos Tsitsipas,8,Greece,GRE,7,2,2133,Jannik Sinner,,Italy,ITA,263,-4,1735,6-3 6-2,WC,,
